kernel,backend,size,algorithm,trial,mean_best_ms,median_best_ms,std_best_ms,ci95_ms,min_best_ms,max_best_ms
matmul,sycl,1024,bayesian,1,3.071948790550232,3.181823968887329,0.26321441286491554,0.16314198329686352,2.6398720741271973,3.3919999599456787
matmul,sycl,1024,bayesian,2,2.7134463787078857,2.6109439730644226,0.2587607149978911,0.16038155275993746,2.3787519931793213,3.216383934020996
matmul,sycl,1024,bayesian,3,2.5982463717460633,2.607103943824768,0.19658742056473705,0.12184614563111078,2.267135977745056,2.9460480213165283
matmul,sycl,1024,bayesian,4,2.554879975318909,2.607103943824768,0.14608867598196965,0.09054669946642645,2.267135977745056,2.74892795085907
matmul,sycl,1024,bayesian,5,2.5013247668743133,2.607103943824768,0.21716072210480025,0.13459761003489648,2.0316160321235657,2.74892795085907
matmul,sycl,1024,bayesian,6,2.4849919736385346,2.607103943824768,0.21949924623620432,0.13604704230812323,2.0316160321235657,2.74892795085907
matmul,sycl,1024,bayesian,7,2.470758372545242,2.5983999371528625,0.20472175314060992,0.12688785719538306,2.0316160321235657,2.6280959844589233
matmul,sycl,1024,bayesian,8,2.4284671902656556,2.5876479744911194,0.2590762945698856,0.16057715100512013,1.9553280472755432,2.6280959844589233
matmul,sycl,1024,bayesian,9,2.4200191855430604,2.577407956123352,0.2525015413308526,0.15650207672849303,1.9553280472755432,2.6117119789123535
matmul,sycl,1024,bayesian,10,2.413977599143982,2.5712639689445496,0.24793333728570477,0.1536706745270769,1.9553280472755432,2.6117119789123535
matmul,sycl,1024,bayesian,11,2.413977599143982,2.5712639689445496,0.24793333728570477,0.1536706745270769,1.9553280472755432,2.6117119789123535
matmul,sycl,1024,bayesian,12,2.3748095989227296,2.5305599570274353,0.26218242521108454,0.16250235072222077,1.9553280472755432,2.6117119789123535
matmul,sycl,1024,bayesian,13,2.3592447996139527,2.5305599570274353,0.2736540092226585,0.1696125121561436,1.9553280472755432,2.6117119789123535
matmul,sycl,1024,bayesian,14,2.309222412109375,2.4734720587730408,0.2885739459267585,0.17885998473212192,1.829375982284546,2.570240020751953
