kernel,size,configuration,exec_time_ms,cuda_baseline_time_ms,application_efficiency_pct,source
matmul,1024,SYCL default,3.0643199682235718,0.2709440030157566,8.841896597789903,default_baseline
matmul,1024,SYCL after Random Search,2.172416001558304,0.2709440030157566,12.472012856718269,mean best-of-run time
matmul,1024,SYCL after Bayesian Opt,2.231807994842529,0.2709440030157566,12.14011257428414,mean best-of-run time
matmul,2048,SYCL default,10.01471996307373,1.7734960079193116,17.708892654597882,default_baseline
matmul,2048,SYCL after Random Search,4.656588816642762,1.7734960079193116,38.08573352194623,mean best-of-run time
matmul,2048,SYCL after Bayesian Opt,4.578457593917847,1.7734960079193116,38.735665265858835,mean best-of-run time
matmul,4096,SYCL default,64.33689498901367,16.43006548881531,25.537548076606665,default_baseline
matmul,4096,SYCL after Random Search,21.315481662750244,16.43006548881531,77.08043265814435,mean best-of-run time
matmul,4096,SYCL after Bayesian Opt,21.349529552459718,16.43006548881531,76.95750601175365,mean best-of-run time
stencil,1024,SYCL default,14.239471912384033,5.802351999282837,40.7483650727001,default_baseline
stencil,1024,SYCL after Random Search,10.374984216690063,5.802351999282837,55.926369410265615,mean best-of-run time
stencil,1024,SYCL after Bayesian Opt,10.174819326400756,5.802351999282837,57.02658507387337,mean best-of-run time
stencil,2048,SYCL default,43.33765983581543,16.312830257415772,37.64123471183463,default_baseline
stencil,2048,SYCL after Random Search,28.426999282836913,16.312830257415772,57.384988458014305,mean best-of-run time
stencil,2048,SYCL after Bayesian Opt,28.6589075088501,16.312830257415772,56.92062843769686,mean best-of-run time
stencil,4096,SYCL default,93.49755096435547,65.7938835144043,70.36963303935867,default_baseline
stencil,4096,SYCL after Random Search,72.05972633361816,65.7938835144043,91.30465360053603,mean best-of-run time
stencil,4096,SYCL after Bayesian Opt,72.79192390441895,65.7938835144043,90.38624065053757,mean best-of-run time
