kernel,backend,size,M,N,K,config_id,BM,BN,BK,TM,TN,algorithms,sample_count,mean_time_ms,best_time_ms,mean_gflops,best_gflops,threads_per_block,shared_memory_bytes,active_blocks_per_sm,theoretical_occupancy
matmul,cuda,1024,1024,1024,1024,32_32_16_4_4,32,32,16,4,4,bayesian;random,3,0.3004959970712662,0.29550400376319885,7148.78235434297,7267.189684918377,64,4096,12,0.375
matmul,cuda,1024,1024,1024,1024,32_32_32_1_2,32,32,32,1,2,bayesian;random,5,0.612723195552826,0.584879994392395,3509.7141256821724,3671.66541613536,512,8192,4,1.0
matmul,cuda,1024,1024,1024,1024,32_32_32_1_4,32,32,32,1,4,bayesian;random,6,0.7201439986626307,0.6674720048904419,2985.5601346002436,3217.338903003858,256,8192,6,0.75
matmul,cuda,1024,1024,1024,1024,32_32_32_2_1,32,32,32,2,1,random,3,0.5116373399893442,0.4662880003452301,4215.056074535703,4605.487695179904,512,8192,4,1.0
matmul,cuda,1024,1024,1024,1024,32_32_32_2_2,32,32,32,2,2,bayesian,2,0.4099920019507408,0.4084960073232651,5237.936910498754,5257.049296691362,256,8192,6,0.75
matmul,cuda,1024,1024,1024,1024,32_32_32_2_4,32,32,32,2,4,bayesian,3,0.37567999958992004,0.342960000038147,5758.488484972025,6261.615487990256,128,8192,6,0.375
matmul,cuda,1024,1024,1024,1024,32_32_32_4_1,32,32,32,4,1,bayesian;random,5,0.6299999952316284,0.5300799906253815,3433.237964003392,4051.2445026767127,256,8192,6,0.75
matmul,cuda,1024,1024,1024,1024,32_32_32_4_2,32,32,32,4,2,bayesian;random,3,0.4827680041392644,0.47700800001621246,4449.18280972459,4501.986649966063,128,8192,6,0.375
matmul,cuda,1024,1024,1024,1024,32_32_32_4_4,32,32,32,4,4,bayesian;random,5,0.3470079988241196,0.28622400760650635,6243.780831561692,7502.807559568194,64,8192,6,0.1875
matmul,cuda,1024,1024,1024,1024,32_32_8_1_4,32,32,8,1,4,bayesian,4,0.6004040092229843,0.5325600206851959,3605.162186130139,4032.3786326225363,256,2048,8,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_2_1,32,32,8,2,1,random,1,0.50204798579216,0.50204798579216,4277.446994656452,4277.446994656452,512,2048,4,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_2_2,32,32,8,2,2,bayesian;random,3,0.43535466492176056,0.3939199894666672,4972.990379604777,5451.573175830714,256,2048,8,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_2_4,32,32,8,2,4,bayesian;random,4,0.36447199806571007,0.32367999851703644,5969.144324092616,6634.588661143269,128,2048,16,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_4_1,32,32,8,4,1,bayesian;random,4,0.44218000397086143,0.3845440000295639,4939.44179951281,5584.493966450915,256,2048,8,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_4_2,32,32,8,4,2,bayesian;random,6,0.34625600030024845,0.296767994761467,6258.639852931925,7236.23735007571,128,2048,16,1.0
matmul,cuda,1024,1024,1024,1024,32_32_8_4_4,32,32,8,4,4,bayesian;random,4,0.34369200095534325,0.3022240102291107,6333.628535606673,7105.602385369813,64,2048,24,0.75
matmul,cuda,1024,1024,1024,1024,32_64_16_1_4,32,64,16,1,4,bayesian;random,2,0.5267680063843727,0.45448000729084015,4154.961902089565,4725.144370598768,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_16_2_2,32,64,16,2,2,random,1,0.33609600365161896,0.33609600365161896,6389.494741585737,6389.494741585737,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_16_2_4,32,64,16,2,4,bayesian;random,9,0.31356800264782375,0.27984000742435455,6919.068156815478,7673.969379022765,256,6144,8,1.0
matmul,cuda,1024,1024,1024,1024,32_64_16_4_1,32,64,16,4,1,bayesian;random,5,0.3931583970785141,0.349263995885849,5517.041444338031,6148.597259655326,512,6144,4,1.0
matmul,cuda,1024,1024,1024,1024,32_64_16_4_2,32,64,16,4,2,bayesian;random,10,0.2878687985241413,0.24401599913835526,7534.5764851607555,8800.58543531153,256,6144,8,1.0
matmul,cuda,1024,1024,1024,1024,32_64_16_4_4,32,64,16,4,4,bayesian;random,4,0.27194399759173393,0.24659200012683868,7962.6494258721605,8708.65091688054,128,6144,8,0.5
